util_type,symbol,id,candle_time,action,price,stop_loss,target_price,current_price,exit_price,pnl,status,executed_at,exchange_mode
TRADE_HISTORY,ICICIBANK_KOTAKBANK,1,01-04-2024 09:19,BUY,-9.80693,-20.14,0.52,,1.25859,51907.9,target_hit,01-04-2024 14:44,nse
TRADE_HISTORY,ULTRACEMCO_GRASIM,2,01-04-2024 09:24,BUY,-140.79783,-270.79,-10.81,,-5.50605,46738.6,target_hit,01-04-2024 10:24,nse
TRADE_HISTORY,TATASTEEL_HINDALCO,3,01-04-2024 10:49,SELL,3.01997,5.95,0.09,,5.09959,-76104.6,stop_loss_hit,01-04-2024 12:49,nse
TRADE_HISTORY,IOC_BPCL,4,01-04-2024 11:09,SELL,1.92291,3.8,0.04,,-0.01177,47081.4,target_hit,02-04-2024 10:44,nse
TRADE_HISTORY,TATASTEEL_HINDALCO,5,01-04-2024 12:54,SELL,5.3063,8.51,2.1,,1.43807,11076.5,target_hit,01-04-2024 13:19,nse
TRADE_HISTORY,BAJFINANCE_BAJAJFINSV,6,02-04-2024 11:19,BUY,-81.37761,-156.18,-6.57,,6.75054,16371.9,target_hit,02-04-2024 15:29,nse
TRADE_HISTORY,IOC_BPCL,7,02-04-2024 14:19,SELL,2.04536,4.0,0.09,,-0.2101,12854.9,target_hit,04-04-2024 14:14,nse
TRADE_HISTORY,ULTRACEMCO_GRASIM,8,02-04-2024 15:29,SELL,142.05215,272.88,11.22,,283.91017,-65807.3,stop_loss_hit,03-04-2024 09:19,nse
TRADE_HISTORY,ICICIBANK_KOTAKBANK,9,03-04-2024 09:24,SELL,10.54864,20.21,0.89,,0.86344,-37265.4,target_hit,03-04-2024 14:39,nse
TRADE_HISTORY,ULTRACEMCO_GRASIM,10,03-04-2024 09:24,SELL,290.41008,421.6,159.22,,150.50201,27571.4,target_hit,03-04-2024 10:09,nse
TRADE_HISTORY,BAJFINANCE_BAJAJFINSV,11,03-04-2024 09:54,SELL,81.61661,159.26,3.98,,3.82781,-3199.8,target_hit,03-04-2024 11:29,nse
TRADE_HISTORY,NTPC_POWERGRID,12,03-04-2024 14:49,SELL,5.99752,11.84,0.16,,11.83635,-73231.5,stop_loss_hit,04-04-2024 10:09,nse
TRADE_HISTORY,ICICIBANK_KOTAKBANK,13,04-04-2024 09:29,BUY,-10.60995,-21.4,0.18,,1.04756,1951.0,target_hit,04-04-2024 11:19,nse
TRADE_HISTORY,NTPC_POWERGRID,14,04-04-2024 10:14,SELL,12.20114,18.39,6.01,,4.29509,-22421.8,target_hit,04-04-2024 11:04,nse
TRADE_HISTORY,TATASTEEL_HINDALCO,15,04-04-2024 11:04,BUY,-2.92493,-5.81,-0.04,,0.11766,52116.8,target_hit,04-04-2024 12:39,nse
TRADE_HISTORY,TCS_WIPRO,16,04-04-2024 11:14,SELL,66.21214,130.3,2.12,,0.05784,-8627.0,target_hit,09-04-2024 11:54,nse
TRADE_HISTORY,HINDUNILVR_DABUR,17,04-04-2024 12:59,SELL,50.3527,77.99,22.72,,78.44389,-66631.0,stop_loss_hit,04-04-2024 13:39,nse
TRADE_HISTORY,HINDUNILVR_DABUR,18,04-04-2024 13:44,SELL,73.41799,101.82,45.01,,38.1972,-20577.7,target_hit,04-04-2024 14:29,nse
TRADE_HISTORY,BAJFINANCE_BAJAJFINSV,19,05-04-2024 09:19,BUY,-135.94252,-214.64,-57.25,,-38.63006,-16455.1,target_hit,05-04-2024 10:14,nse
TRADE_HISTORY,ICICIBANK_KOTAKBANK,20,05-04-2024 09:24,BUY,-12.54529,-23.34,-1.75,,-0.62668,-18080.2,target_hit,05-04-2024 10:44,nse
TRADE_HISTORY,BAJFINANCE_BAJAJFINSV,21,08-04-2024 09:29,BUY,-83.36237,-162.42,-4.3,,-2.59342,4811.7,target_hit,08-04-2024 11:24,nse
TRADE_HISTORY,NTPC_POWERGRID,22,08-04-2024 09:34,BUY,-6.93522,-13.18,-0.69,,-0.00496,38472.7,target_hit,08-04-2024 13:14,nse
TRADE_HISTORY,ULTRACEMCO_GRASIM,23,08-04-2024 14:44,BUY,-133.53982,-263.38,-3.7,,-62.9096,-73295.6,target_hit,09-04-2024 14:59,nse
TRADE_HISTORY,NTPC_POWERGRID,24,08-04-2024 15:24,SELL,6.90518,13.33,0.48,,-0.42806,29781.4,target_hit,10-04-2024 10:34,nse
TRADE_HISTORY,ICICIBANK_KOTAKBANK,25,09-04-2024 09:29,SELL,13.80815,23.96,3.66,,8.75644,-72680.0,target_hit,09-04-2024 11:39,nse
TRADE_HISTORY,IOC_BPCL,26,09-04-2024 09:59,SELL,2.15824,4.1,0.22,,0.17117,29559.6,target_hit,09-04-2024 12:39,nse
TRADE_HISTORY,ICICIBANK_KOTAKBANK,27,10-04-2024 10:04,BUY,-10.75933,-21.64,0.12,,-11.04734,-78768.2,stop_loss_hit,10-04-2024 12:44,nse
TRADE_HISTORY,TATASTEEL_HINDALCO,28,10-04-2024 10:24,BUY,-3.07214,-5.93,-0.21,,-2.2536,-72183.1,target_hit,10-04-2024 15:04,nse
TRADE_HISTORY,ICICIBANK_KOTAKBANK,29,10-04-2024 12:49,BUY,-11.4528,-22.85,-0.06,,1.45191,27034.0,target_hit,10-04-2024 13:19,nse
TRADE_HISTORY,BAJFINANCE_BAJAJFINSV,30,12-04-2024 09:19,SELL,73.14673,149.55,-3.26,,-4.50332,59249.1,target_hit,12-04-2024 10:34,nse
TRADE_HISTORY,IOC_BPCL,31,12-04-2024 09:29,BUY,-1.9087,-3.84,0.02,,0.30319,-18275.9,target_hit,15-04-2024 11:49,nse
TRADE_HISTORY,NTPC_POWERGRID,32,12-04-2024 09:29,SELL,7.90215,14.24,1.57,,1.0738,-3965.7,target_hit,15-04-2024 14:39,nse
TRADE_HISTORY,TCS_WIPRO,33,12-04-2024 15:04,SELL,80.71767,141.78,19.65,,151.36457,-75447.3,stop_loss_hit,15-04-2024 09:19,nse
TRADE_HISTORY,TCS_WIPRO,34,15-04-2024 09:24,SELL,156.8859,218.68,95.1,,82.07277,6233.9,target_hit,15-04-2024 09:54,nse
TRADE_HISTORY,ICICIBANK_KOTAKBANK,35,15-04-2024 10:14,BUY,-11.24047,-21.98,-0.5,,-0.18529,4651.4,target_hit,15-04-2024 13:19,nse
TRADE_HISTORY,ULTRACEMCO_GRASIM,36,16-04-2024 09:34,BUY,-136.94542,-260.96,-12.93,,-10.1337,23020.9,target_hit,16-04-2024 14:19,nse
TRADE_HISTORY,ICICIBANK_KOTAKBANK,37,16-04-2024 12:04,BUY,-10.77168,-21.94,0.4,,2.13945,7150.7,target_hit,16-04-2024 14:49,nse
TRADE_HISTORY,BAJFINANCE_BAJAJFINSV,38,16-04-2024 12:34,SELL,78.72526,155.72,1.73,,-14.13957,54317.1,target_hit,18-04-2024 09:59,nse
TRADE_HISTORY,NTPC_POWERGRID,39,18-04-2024 09:19,BUY,-13.84236,-20.47,-7.22,,-5.36076,9191.5,target_hit,18-04-2024 10:54,nse
TRADE_HISTORY,ULTRACEMCO_GRASIM,40,18-04-2024 11:19,BUY,-143.63944,-273.9,-13.38,,-10.6024,17352.5,target_hit,18-04-2024 13:54,nse
TRADE_HISTORY,BAJFINANCE_BAJAJFINSV,41,18-04-2024 15:04,SELL,84.07817,161.0,7.15,,5.61841,-51380.1,target_hit,19-04-2024 14:24,nse
TRADE_HISTORY,IOC_BPCL,42,19-04-2024 09:39,SELL,2.04397,3.74,0.35,,0.09519,61465.9,target_hit,19-04-2024 10:49,nse
TRADE_HISTORY,TCS_WIPRO,43,19-04-2024 13:59,BUY,-61.19354,-124.49,2.1,,-121.1695,-73814.2,stop_loss_hit,22-04-2024 09:39,nse
TRADE_HISTORY,ULTRACEMCO_GRASIM,44,22-04-2024 09:19,SELL,169.24122,300.42,38.06,,36.04574,18459.3,target_hit,22-04-2024 11:04,nse
TRADE_HISTORY,BAJFINANCE_BAJAJFINSV,45,22-04-2024 09:24,SELL,96.57499,179.3,13.85,,1.87743,25016.0,target_hit,22-04-2024 10:19,nse
TRADE_HISTORY,TCS_WIPRO,46,22-04-2024 09:44,BUY,-137.63785,-203.41,-71.86,,-66.09756,-4827.6,target_hit,22-04-2024 10:19,nse
TRADE_HISTORY,NTPC_POWERGRID,47,22-04-2024 10:04,BUY,-6.99973,-13.81,-0.19,,-0.18401,-25087.2,target_hit,22-04-2024 15:29,nse
TRADE_HISTORY,ULTRACEMCO_GRASIM,48,23-04-2024 10:59,BUY,-138.69956,-269.33,-8.07,,-277.25636,-70848.9,stop_loss_hit,23-04-2024 11:24,nse
TRADE_HISTORY,ULTRACEMCO_GRASIM,49,23-04-2024 11:29,BUY,-280.26727,-412.38,-148.15,,-129.05856,12652.9,target_hit,23-04-2024 11:54,nse
TRADE_HISTORY,ICICIBANK_KOTAKBANK,50,25-04-2024 09:19,SELL,103.54946,114.34,92.76,,42.88085,-5173.8,target_hit,25-04-2024 09:39,nse
TRADE_HISTORY,IOC_BPCL,51,25-04-2024 09:29,SELL,1.85455,3.6,0.11,,0.08825,49068.7,target_hit,25-04-2024 13:34,nse
TRADE_HISTORY,BAJFINANCE_BAJAJFINSV,52,25-04-2024 13:24,BUY,-82.74641,-161.18,-4.31,,-231.18715,-141991.2,stop_loss_hit,26-04-2024 09:19,nse
TRADE_HISTORY,ICICIBANK_KOTAKBANK,53,25-04-2024 14:14,SELL,17.79179,33.41,2.18,,-2.06057,13736.4,target_hit,25-04-2024 15:04,nse
TRADE_HISTORY,IOC_BPCL,54,25-04-2024 14:59,BUY,-1.75494,-3.55,0.04,,0.27684,66079.4,target_hit,26-04-2024 09:19,nse
TRADE_HISTORY,BAJFINANCE_BAJAJFINSV,55,26-04-2024 09:24,BUY,-184.13171,-266.61,-101.66,,-237.68792,-84968.2,stop_loss_hit,26-04-2024 09:39,nse
TRADE_HISTORY,TCS_WIPRO,56,26-04-2024 09:39,BUY,-59.90781,-115.93,-3.89,,-3.5262,-22609.8,target_hit,26-04-2024 13:44,nse
TRADE_HISTORY,BAJFINANCE_BAJAJFINSV,57,26-04-2024 09:44,BUY,-158.51643,-270.31,-46.73,,-25.86531,-57.4,target_hit,26-04-2024 09:49,nse
